	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000000003_TSPAN6"	486.00	632.00	667.00	659.00
"ENSG00000000005_TNMD"	0.00	0.00	0.00	0.00
"ENSG00000000419_DPM1"	393.00	416.00	444.00	423.00
"ENSG00000000457_SCYL3"	100.00	92.00	126.00	119.00
"ENSG00000000460_C1orf112"	112.00	109.00	121.00	127.00
"ENSG00000000938_FGR"	3.00	5.00	7.00	6.00
"ENSG00000000971_CFH"	961.00	957.75	1248.83	1233.00
"ENSG00000001036_FUCA2"	1233.00	1084.00	1163.00	1313.00
"ENSG00000001084_GCLC"	246.00	221.00	260.00	314.00
"ENSG00000001167_NFYA"	381.00	355.00	361.00	440.00
"ENSG00000001460_STPG1"	87.00	99.00	85.00	102.00
"ENSG00000001461_NIPAL3"	139.00	203.00	154.00	171.00
"ENSG00000001497_LAS1L"	458.00	414.00	381.00	455.00
"ENSG00000001561_ENPP4"	38.00	53.00	49.00	41.00
"ENSG00000001617_SEMA3F"	2234.00	1939.00	1747.00	2205.00
"ENSG00000001626_CFTR"	0.00	0.00	0.00	0.00
"ENSG00000001629_ANKIB1"	930.00	792.00	931.00	1024.00
"ENSG00000001630_CYP51A1"	930.00	739.00	780.98	919.14
"ENSG00000001631_KRIT1"	401.21	375.80	442.23	465.00
"ENSG00000002016_RAD52"	107.06	66.00	85.00	90.00
"ENSG00000002079_MYH16"	0.00	2.00	2.00	1.00
"ENSG00000002330_BAD"	308.00	324.00	301.00	333.00
"ENSG00000002549_LAP3"	1749.00	1355.00	1475.00	1738.00
"ENSG00000002586_CD99"	6416.00	6933.00	6482.00	7366.00
"ENSG00000002587_HS3ST1"	17.00	19.00	20.00	19.00
"ENSG00000002726_AOC1"	0.00	0.00	0.00	0.00
"ENSG00000002745_WNT16"	0.00	0.00	1.00	1.00
"ENSG00000002746_HECW1"	0.00	0.00	1.00	0.00
"ENSG00000002822_MAD1L1"	251.00	242.00	197.00	271.00
"ENSG00000002834_LASP1"	4876.00	4119.00	3909.00	4982.00
"ENSG00000002919_SNX11"	289.00	247.00	295.00	306.00
"ENSG00000002933_TMEM176A"	0.00	0.00	0.00	0.00
"ENSG00000003056_M6PR"	2609.00	1753.00	2219.00	2408.00
"ENSG00000003096_KLHL13"	107.00	138.00	125.00	151.00
"ENSG00000003137_CYP26B1"	16.00	25.00	24.00	41.00
"ENSG00000003147_ICA1"	235.00	251.00	300.00	304.00
"ENSG00000003249_DBNDD1"	359.00	414.00	328.00	416.00
"ENSG00000003393_ALS2"	503.00	510.00	578.00	587.00
"ENSG00000003400_CASP10"	360.00	373.00	347.00	452.00
"ENSG00000003402_CFLAR"	2711.29	2274.00	2582.85	2989.88
"ENSG00000003436_TFPI"	2051.00	2534.00	2492.00	2730.00
"ENSG00000003509_NDUFAF7"	235.00	160.00	230.00	214.00
"ENSG00000003756_RBM5"	1331.00	984.00	1456.00	1448.00
"ENSG00000003987_MTMR7"	14.00	10.00	10.00	13.00
"ENSG00000003989_SLC7A2"	356.00	294.00	324.00	375.00
"ENSG00000004059_ARF5"	910.00	1058.84	969.00	1240.00
"ENSG00000004139_SARM1"	313.31	247.40	233.26	298.00
"ENSG00000004142_POLDIP2"	1236.00	1107.00	1045.00	1228.00
"ENSG00000004399_PLXND1"	7852.00	7854.00	6996.00	9486.00
"ENSG00000004455_AK2"	1282.14	1080.71	1182.88	1271.33
"ENSG00000004468_CD38"	1.00	0.00	0.00	2.00
"ENSG00000004478_FKBP4"	1313.00	1151.00	1144.00	1374.00
"ENSG00000004487_KDM1A"	1108.00	1084.00	1093.00	1270.00
"ENSG00000004534_RBM6"	1120.00	709.00	1133.00	1028.00
"ENSG00000004660_CAMKK1"	69.00	74.00	73.00	71.00
"ENSG00000004700_RECQL"	1326.00	1180.00	1279.00	1301.00
"ENSG00000004766_VPS50"	295.00	261.00	320.00	344.00
"ENSG00000004776_HSPB6"	6.00	26.00	10.00	19.00
"ENSG00000004777_ARHGAP33"	35.00	48.00	74.00	59.00
"ENSG00000004779_NDUFAB1"	549.00	555.00	582.00	610.00
"ENSG00000004799_PDK4"	65.00	140.00	108.00	120.00
"ENSG00000004809_SLC22A16"	0.00	0.00	0.00	0.00
"ENSG00000004838_ZMYND10"	1.00	0.00	3.00	1.00
"ENSG00000004846_ABCB5"	0.00	0.00	0.00	0.00
"ENSG00000004848_ARX"	0.00	0.00	0.00	0.00
"ENSG00000004864_SLC25A13"	717.00	465.00	605.00	622.00
"ENSG00000004866_ST7"	339.00	255.00	300.00	350.00
"ENSG00000004897_CDC27"	1338.00	1405.00	1326.00	1451.00
"ENSG00000004939_SLC4A1"	0.00	0.00	0.00	0.00
"ENSG00000004948_CALCR"	0.00	0.00	0.00	0.00
"ENSG00000004961_HCCS"	321.00	289.00	269.00	318.00
"ENSG00000004975_DVL2"	346.00	326.00	286.00	388.00
"ENSG00000005001_PRSS22"	0.00	0.00	0.00	0.00
"ENSG00000005007_UPF1"	1352.00	1325.00	1170.00	1563.00
"ENSG00000005020_SKAP2"	519.00	493.00	583.00	620.00
"ENSG00000005022_SLC25A5"	2787.00	2812.00	2781.00	3231.00
"ENSG00000005059_MCUB"	327.00	375.00	327.00	407.00
"ENSG00000005073_HOXA11"	0.00	1.00	0.00	1.00
"ENSG00000005075_POLR2J"	319.46	341.40	332.40	349.22
"ENSG00000005100_DHX33"	552.00	528.00	541.00	596.00
"ENSG00000005102_MEOX1"	1.00	1.00	0.00	0.00
"ENSG00000005108_THSD7A"	328.00	474.00	477.00	542.00
"ENSG00000005156_LIG3"	428.00	375.00	367.00	434.00
"ENSG00000005175_RPAP3"	355.00	333.00	380.00	363.00
"ENSG00000005187_ACSM3"	58.00	60.00	76.00	69.00
"ENSG00000005189_REXO5"	31.00	22.00	38.00	49.00
"ENSG00000005194_CIAPIN1"	770.00	719.00	761.00	774.00
